service_no,service,required_documents,fee,processing_time,responsible_person,start_page,end_page
११,"स्थायीबसोबास सिफारिस
।","१. ब्यहोरा खुलेको निवेदन
२. निवेदकको नागरिकता प्रमाण
पत्रको प्रतिलिपि
३. बसा gar गरी आएकाको
हकमा बसा eau, दर्ता
प्रमाणपत्रकोप्रतिलिपि
४. चालु आर ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",र२००,"सोहि दिन
द",बडा अध्यक्ष,13,14
१२,"अस्थायीबसोबास
सिफारिस
।","१. ब्यहोरा खुलेकोघरधनीको सनाखत
सहितको निवेदन
२. निवेदक र सनाखत गर्नको
नागरिकता प्रमाणपत्रको प्रतिलिपि
३. कर्मचारीको हकमा हाल कार्यरत
रहेको कार्यालयको पत्र
४. बहालमा बसेको भए
सम्झोतापत्रको प्रतिलिपि
YA दाता वा घरधनीले चालु
आर्थिक वर्षसम्मको तिर्नु बुझाउनु पर्ने
सबै कर तिरेको प्रमाण","�वƭाथȸ
५००
स्वदशी
२०००
�वदेशी
१००००",सोहि दिन,बडा अध्यक्ष,14,15
१३,मालपोत वाभूमि कर,"१. प्रथम वर्षकोलागि जग्गा धनी
प्रमाण पुर्जा
२. लिखतको प्रतिलिपि
३. नवीकरणका लागि अघिल्लो
आर्थिक वर्षमा मालपोत तिरेकोरसिद
४. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण","आǓथर्
क ऐन
बमोिजम",सोहि दिन,वडा सचिव,15,15
१४,"नागरिकताप्रमाणपत्र
सिफारिस
।","१. नागरिकता प्रमाणपत्रको अनुस्ची
फाराम
२. आमार बा ae नागरिकता
प्रमाणपत्रकोप्रतिलिपि
३. जन्म दर्ता प्रमाणपत्रकोप्रतिलिपि
४. चारित्रिक प्रमाणपत्रको प्रतिलिपि
(बिद्यार्थीको हकमा)
५, विवाहित महिलाको हकमा बिबाह
दर्ता प्रमाणपत्रको प्रतिलिपि
६. बसा इँसराई गरी आएकाको
हकमा बसा aus दर्ता
प्रमाणपत्रकोप्रतिलिपि
७ निवेदकको पासपोर्ट साईजको २
प्रति फोटो
Sc. कर्मचारी भएमा नाता खुलेको
सम्वन्धित कार्यालयको
सिफारिस",Ǔनꓽशुल्,"सोहि दिन्‌
सर्जमिनको
हकमा
बढीमा ५
दिन
द",बडा अध्यक्ष,16,17
१५,"नागरिकता प्रमाणपत्रको
प्रतिलिपि सिफारिस
।","१. नागरिकता प्रमाणपत्र प्रतिलिपिको
अनुसूची फाराम
२. पुरानो नागरिकताको प्रतिलिपि
३ निवेदकको पासपोर्ट साईजको २
प्रति फोटो
४. कर्मचारी भएमा नाता खुल्ने
व्यहोरा सहितको सम्वन्धित
कार्यालयकोसिफारिसपत्र",Ǔनꓽशुल्,"सोहि दिन्‌
सर्जमिनको
हकमा
बढीमा ५
दिन",बडा अध्यक्ष,17,18
१६,"अंगिकृतनागरिकता
सिफारिस","१. अंगिकृत नागरिकताको अनुसूची
फाराम
२. अंगिकृत नागरिकता प्राप्त गर्न
कानुन बमोजिम आवश्यक आधार
खुलेको कागजातहरु
३. साविक मुलुकको नागरिकता
परित्याग गरेको वा परित्याग गर्न
कारवाही चलाएको पुष्टि गर्ने
कागजातहरु
४. नेपालमा १५ वर्षदेखि कुनै
व्यवसाय वा काम गरी वसेको
प्रमाणपत्रको प्रतिलिपि
५. वैवाहिक अंगिकृत नागरिकताको
लागि विवाह दर्ता प्रमाणपत्रको
प्रतिलिपि र सम्बन्धित देशको
आधिकारिक प्रमाणपत्र
६. नेपाली भाषा लेख र वोल्न
जान्नेप्रमाण कागजातहरु
७. निवेदकको पासपोर्ट साईजको २
प्रति फोटो
८. चालु आ. व. को सम्पत्ति कर
तिरेको प्रमाणपत्रको प्रतिलिपि
वाभाडामा बसेको भए चालु आ.
व.को भाडा कर
तिरेकोरसिदको प्रतिलिपि
९. चालु at ्थिक वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण","र.१०,०००
रुपैया मा","सोहि दिन्‌
सर्जमिनको
हकमा
बढीमा ३५
दिन
ल","बडा अध्यक्ष
द",18,20
१७,"घर/जग्गानामसारी
सिफारिस","१. तीन पुस्ते नाताखुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. मृत्यु दर्ता र मृतकसँगको नाता
प्रमाणित प्रमाणपत्रको प्रतिलिपि
४, जग्गा धनी प्रमाण पुर्जाको
प्रतिलिपि
५. घर भएकोमा निर्माण सम्पन्न
प्रमाणपत्रको प्रतिलिपि
६. निवेदकको पासपोर्ट साईजको २
प्रति फोटो
७. सर्जमिन मुचल्का गरी बुझ्नुपर्न
भए सर्जमिनमा साक्षी बस्नेको
नागरिकता प्रमाणपत्रको प्रतिलिपि
com gars गरी आएकाको
हकमा बसा aus दर्ता
प्रमाणपत्रकोप्रतिलिपि
९. चालु at ्थिक वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",र.१०००,सोहि दिन,"बडा अध्यक्ष
र",20,22
१८,"घर कायमसिफारिस
ली","१. तीन पुस्ते नाताखुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. सम्बन्धित जग्गाको लालपुर्जाको
प्रमाणपत्रको प्रतिलिपि
४. निर्माण सम्पन्न प्रमाणपत्रको
प्रतिलिपि
५, निवेदकको पासपोर्ट साईजको २
प्रति फोटो
६. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",र.१०००,सोहि दिन,"बडा अध्यक्ष
।",22,23
१९,"दुवै फरकव्यक्ति एकै हो
भन्ने सिफारिस
।","१. ब्यहोरा खुलेको निवेदन
२. नागरिकता प्रमाणपत्रको प्रतिलिपि
३. नामथर फरक परेको पुष्टि गर्ने
प्रमाणित कागजातहरु
४. सम्बन्धित व्यक्ति वा हकवाला
उपस्थित भइ सनाखत गर्नु पर्ने
५. आवश्यकता अनुसार स्थानीय
प्रहरी सर्जमिनको मुचुल्काको
प्रतिवेदनमाग गर्न सक्ने
६. बसा इँसराई गरी आएकाको
हकमा बसा eau, दर्ता
प्रमाणपत्रकोप्रतिलिपि
७. चालु at ्थिक वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",५००,"सोहि दिन्‌
सर्जमिनको
हकमा
बढीमा ५
दिन
द",बडा अध्यक्ष,23,24
२०,"जग्गादर्ता सिफारिस
।","१. तीन पुस्ते नाताखुलेको निवेदन
2. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. जग्गाको साविक लगत प्रमाणित
प्रतिलिपि
४. फिल्डबुक उतार
५, जग्गाको नापी नक्सा
६. जग्गासँग सम्बन्धित अन्य प्रमाण
कागजातहरु
७. चालु al ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",र.३०००,"सोहि दिन्‌
सर्जमिनको
हकमा
बढीमा ५
दिन",बडा अध्यक्ष,24,25
२१,"घर /जग्गाको बाटो
प्रमाणित","१. तोकिएको ढाँचाको निवेदन
२. खरिद विक्री गर्ने दुवैको
नागरिकता प्रमाणपत्रको प्रतिलिपि
३. जग्गा धनी प्रमाण पुर्जाको
प्रतिलिपि
४. जग्गाको हालसालेको नापी नक्सा
aca को सक्कल प्रति
५. निवेदक स्वय म्‌ वा निजले अन्य
व्यक्तिलाई तोकेको हकमा निवेदकले
दिएको अधिकृत वारेसनामाको
प्रमाणित प्रतिलिपी
६. भवनको हकमा निर्माण सम्पन्न
प्रमाणपत्रको प्रतिलिपि
७. चालु al ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण","जग्गा
अनुसार","सोहि दिन्‌/
सर्जमिन वा
स्थलगत
अध्ययनको
हकमा २
दिन",बडा अध्यक्ष,25,26
२२,"घर पाताल प्रमाणित
।","१. ब्यहोरा खुलेको निवेदन
2. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. जग्गा धनी प्रमाण पुर्जाको
प्रतिलिपि
४. जग्गाको हालसालेको नापी नक्सा
वा ca को प्रतिलिपि
५. चालु at a वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण","रु२०००
�कोपमा परȣ
पाताल
भएको भए
Ǔनशुल्
क","सोहि दिन्‌/
सर्जमिन वा
स्थलगत
अध्ययनको
हकमा २
दिन",बडा अध्यक्ष,26,27
२३,"जग्गाधनी प्रमाण पूर्जा
प्रतिलिपि सिफारिस
।।","१. निवेदकको तीन पुस्ते खु लेको
निवेदन
२. नागरिकता प्रमाणपत्रको प्रतिलिपि
३. जग्गा धनी प्रमाण पुर्जाको
प्रतिलिपि
४. निवेदकको पासपोर्ट साईजको २
प्रति फोटो
५. चालु at a वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",रु५००,सोहि दिन,"बडा अध्यक्ष
नी",27,28
२४,"जग्गा धनी प्रमाण
पुर्जामाघर कायम गर्न
सिफारिस","१. निवेदकको तीन पुस्ते खु लेको
निवेदन
२. नागरिकता प्रमाणपत्रको प्रतिलिपि
३. जग्गा धनी प्रमाणपुर्जाको
प्रतिलिपि
४. नक्सा पास प्रमाणपत्रको प्रतिलिपि
५, निर्माण सम्पन्न प्रमाणपत्रको
प्रतिलिपि
६. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",रु१०००,सोही दिन,बडा अध्यक्ष,28,28
२५,"हकदार प्रमाणित
सी","१. निवेदकको तीन पुस्ते खु लेको
निवेदन
२. नागरिकता प्रमाणपत्रको प्रतिलिपि
३. नाता प्रमाणित प्रमाण पत्रको
प्रतिलिपि
४. निर्माण सम्पन्न प्रमाणपत्रको
प्रतिलिपि
५. हकदारहरुको पासपोर्ट साईजको
२। २ प्रति फोटो
६. बसा इँसराई गरी आएकाको
हकमा बसा aus दर्ता
प्रमाणपत्रकोप्रतिलिपि
७. चालु al ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",रु१००,"सोही दिन/
सर्जमिनको
हकमा
बढीमा ५
दिन",बडा अध्यक्ष,29,30
२६,मोही लगतकट्टा सिफारिस,"१. निवेदकको तीन पुस्ते खु लेको
निवेदन
२. मोही कार्यालयमा उपस्थित भई
गरिएको सनाखत
३. निवेदककोनागरिकता
प्रमाणपत्रको प्रतिलिपि
४, जग्गाधनी प्रमाण पुर्जाको प्रमाणित
प्रतिलिपि
५, जग्गाको हालसालेको नापी नक्सा
वा ca को प्रतिलिपि
६. निवेदकको पासपोर्ट साईजको २
प्रति फोटो
७. बसा इँसराई गरी आएकाको
हकमा बसाइँसराइ दर्ता प्रमाणपत्रको
प्रतिलिपि
ट. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण","एकाघरको
भए
रु१०००
अन्को
हकमा
रु५०००","सोही दिन्‌/
सर्जमिनको
हकमा
बढीमा ५
दिन",बडा अध्यक्ष,30,31
२७,"मोहीनामसारी सिफारिस
।","१. निवेदकको तीन पुस्ते खु लेको
निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. मोहीयानी दर्ता प्रमाण पुर्जाको
प्रमाणित प्रतिलिपि
४. जग्गाको हालसालेको नापी नक्सा
वा ca को प्रतिलिपि
५. जग्गाको श्रेस्ता र फिल्डबुकको
प्रमाणित प्रतिलिपि
६. निवेदकको पासपोर्ट साईजको २
प्रति फोटो
७. बसा इँसराई गरी आएकाको
हकमा बसा eau, दर्ता
प्रमाणपत्रकोप्रतिलिपि
ट. चालु at ्थिक वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",,"सोही दिन्‌/
सर्जमिनको
हकमा
बढीमा ५",बडा अध्यक्ष,31,33
२८,"नेपालसरकारको नाममा
बाटो कायम सिफारिस
ली","१. निवेदकको तीन पुस्ते खु लेको
निवेदन
२. जग्गाधनी प्रमाणत्रको प्रतिलिपि
3. जग्गाको हालसालेको नापी नक्सा
वा ca को प्रतिलिपि
४. कार्यालयमा उपस्थित भई जग्गा
धनीले गरेको स्वीकृतिको सनाखत
पत्र
५. निवेदकको पासपोर्ट साईजको २
प्रति फोटो
६. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",र१००,"सोही दिन/
सर्जमिनको
हकमा
बढीमा ५
दिन","बडा अध्यक्ष
।",33,34
२९,"घर जग्गा मूल्याङकन
सिफारिस/ प्रमाणित","१. ब्यहोरा खुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. जग्गा धनी प्रमाण पुर्जाको
प्रतिलिपि
४. चालु आर ्थिक वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण","k|lt xhf/
?१ दस्तुर
लाग्न",सोही दिन,बडा अध्यक्ष,34,34
३०,विद्युतजडान सिफारिस,"१. ब्यहोरा खुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. जग्गाधनी प्रमाणपत्रको प्रमाणित
प्रतिलिपी
४. हक भोगको श्रोत खुल्ने
कागजात
५. नक्सा पास वा नक्सा नामसारी
प्रमाणको प्रतिलिपि
६. चालु at ्थिक वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण","नक्सा पास
भएको
हकमा रु
१००० र
नभएको
हकमा रु
१०००० ।","सोही दिन/
सर्जमिनको
हकमा
बढीमा ५
दिन",बडा अध्यक्ष,35,35
३१,धारा जडानसिफारिस,"१. ब्यहोरा खुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. जग्गाधनी प्रमाणपत्रको प्रमाणित
प्रतिलिपि
४. हक भोगको श्रोत खुल्ने
कागजात
५. नक्सा पास वा नक्सा नामसारी
प्रमाणको प्रतिलिपि
६. चालु at ्थिक वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण","नक्सा पास
भएको
हकमा रु
१००० र
नभएको
हकमा रु
५००० ।","सोही दिन्‌/
सर्जमिनको
हकमा
बढीमा ५
दिन",बडा अध्यक्ष,36,36
३२,कोर्ट फिमिनाहा सिफारिस,"१. कोर्ट फी मिनाहा हुन्‌ पर्ने स्पष्ट
कारण सहितको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
3. अदालतमा मुद्दा परेको प्रमाण
कागजातहरु",Ǔनꓽशुल्,सोहि दिन,बडा अध्यक्ष,37,37
३३,"लेनदेन/लिखत/वारेसनामा
प्रमाणित","१. प्रमाणित गर्नुपर्न कानुन
बमोजिमको कागजात
२. लिने दिनेको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. साक्षी चाहिने भए साक्षीको
नागरिकता प्रमाणपत्रको प्रमाणित
प्रतिलिपि
४. लिने दिने दुवै कार्यालयमा
उपस्थित भै गरिएको सनाखत
५. लिने दिने दुवेको २। २ प्रति
पासपोर्ट साइजको फोटो
६. लेन देनको हकमा लेन देन
भएको चेकको प्रतिलिपि","देवानी
सं�हतामा
तो�कएकोमा
सोहȣ
बमोिजम र
अन्यको
हकमा रु
१०००",एक घण्टा,बडा अध्यक्ष,37,38
३४,जग्गारेवांकन सिफारिस,"१. ब्यहोरा खुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. जग्गा ध नी प्रमाणपूर्जाको
प्रतिलिपि
४. जग्गाको हालसालेको नापी नक्सा
वा ट्रेसको प्रतिलिपि
५. चालु at a वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",र,सोहि दिन,बडा अध्यक्ष,38,39
३५,"मृतकसँगको
नाता प्रमाणित
।","१. तोकिएको ढाँचाको निवेदन
फाराम
२. मृत्युदर्ता प्रमाणपत्रको प्रतिलिपि
३. हकदारहरु सबैको नागरिकताको
प्रमाणपत्रको प्रतिलिपि
४. हकवाला नावालक भए जन्म
दर्ता प्रमाणपत्रको प्रतिलिपि
५. बसा gag गरी आएकाको
हकमा बसा eau, दर्ता
प्रमाणपत्रकोप्रतिलिपि
६. हकदारहरुको पासपोर्ट साईजको
212 प्रति फोटो",र५००,"सर्जमिन
गर्नु पर्नेहुँदा
३ दिन
देखि १
ह्त्ता
द",बडा अध्यक्ष,39,40
३६,"विपन्नविद्यार्थी छात्रबृत्ति
सिफारिस
।।","१. ब्यहोरा खुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. वडा बाहिरको भए सम्वन्धित
वडाको आर्थिक अवस्था कमजोर
भनी गरिएको सिफारिस
४. सम्वन्धित शिक्षालयको सिफरिस
°",Ǔनꓽशुल्,२ घण्टा,"बडा अध्यक्ष
नी",40,41
३७,"बिपन्ननागरिक ओष धी
उपचार सिफारिस","१. ब्यहोरा खुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. बिरामीको नागरिकता
प्रमाणपत्रको प्रतिलिपि
४. अस्पतालको सिफारिस पत्र",Ǔनꓽशुल्,२ घण्टा,बडा अध्यक्ष,41,41
३८,अपाङ्ग सिफारिस,"१. निवेदक स्वयम उपस्थित भई
निजले पेश गरेको ब्यहोरा खु लेको
निवेदन
2. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. निवेदक नाबालक भए जन्मदर्ता
प्रमाणपत्रको प्रतिलिपि
४. चिकित्सकबाट शारीरिक
अपाङ्गताकोप्रकृति खुलेको
सिफारिसपत्र
५. अपाङको पूर्ण शरीर आउने फोटो
१ प्रति र पासपोर्ट साईजको २ प्रति
फोटो",Ǔनꓽशुल्,सोहि दिन,बडा अध्यक्ष,41,42
३९,"ब्यवसायदर्ता
।।","१.तोकिएको व्यवसाय दर्ता फाराम
२. व्यवसायीको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. व्यवसायी बिदे शी भएमा
राहदानीको प्रतिलिपि र नेपाल
सरकारले निजलाई व्यवसाय गर्न
दिएको अनुमति पत्रको प्रतिलिपि
४. बहाल सम्झौताको प्रतिलिपि
५. व्यवसाय रहेको सम्पत्तिको कर
तिरेको रसिदको प्रतिलिपि
६. ब्यवसायको प्रवन्ध पत्र
9. अन्य निकायमा दर्ता भएको भए
सोको प्रमाणित प्रतिलिपि
८ निवेदकको पासपोर्ट साईजको २
प्रति फोटो","आǓथर्
क
एनमा
तो�कए
बमोिजम","सोहि
दिन/सर्जीमेन
वा
स्थलगत
अध्ययनको
हकमा
बढीमा ५
दिन",वडा सचिव,42,44
४०,ब्यवसायबन्द सिफारिस,"१. ब्यहोरा खुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. चालु आ.व. सम्मकोव्यवसाय
नवीकरण गरेका प्रमाणपत्रको सक्घल
४. घरबहाल सम्झौता पत्रको
प्रतिलिपि
५. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",रु१०००,"सोहि दिन »/
सर्जमिन वा
स्थलगत
अध्ययनको
हकमा
बढीमा ५
दिन",वडा सचिव,44,44
